"","filecoverage","totalcoverage"
"R/absDS.R",100,29.74
"R/asCharacterDS.R",100,29.74
"R/asDataMatrixDS.R",100,29.74
"R/asFactorDS1.R",62.5,29.74
"R/asFactorDS2.R",100,29.74
"R/asFactorSimpleDS.R",100,29.74
"R/asIntegerDS.R",100,29.74
"R/asListDS.R",100,29.74
"R/asLogicalDS.R",100,29.74
"R/asMatrixDS.R",100,29.74
"R/asNumericDS.R",100,29.74
"R/aucDS.R",86.67,29.74
"R/blackBoxDS.R",0,29.74
"R/blackBoxRanksDS.R",0,29.74
"R/BooleDS.R",75,29.74
"R/boxPlotGG_data_Treatment_numericDS.R",0,29.74
"R/boxPlotGG_data_TreatmentDS.R",0,29.74
"R/boxPlotGGDS.R",0,29.74
"R/bp_standardsDS.R",88.89,29.74
"R/cbindDS.R",77.78,29.74
"R/cDS.R",100,29.74
"R/changeRefGroupDS.R",100,29.74
"R/checkNegValueDS.R",100,29.74
"R/checkPermissivePrivacyControlLevel.R",80,29.74
"R/classDS.R",100,29.74
"R/colnamesDS.R",100,29.74
"R/completeCasesDS.R",72.73,29.74
"R/corDS.R",81.82,29.74
"R/corTestDS.R",100,29.74
"R/covDS.R",59.57,29.74
"R/dataFrameDS.R",65.38,29.74
"R/dataFrameFillDS.R",93.33,29.74
"R/dataFrameSortDS.R",77.78,29.74
"R/dataFrameSubsetDS1.R",52.54,29.74
"R/dataFrameSubsetDS2.R",41.23,29.74
"R/densityGridDS.R",86.36,29.74
"R/dimDS.R",100,29.74
"R/dmtC2SDS.R",0,29.74
"R/elsplineDS.R",0,29.74
"R/expDS.R",100,29.74
"R/extract.R",100,29.74
"R/extractQuantilesDS1.R",0,29.74
"R/extractQuantilesDS2.R",0,29.74
"R/gamlssDS.R",75,29.74
"R/getWGSRDS.R",79.75,29.74
"R/glmDS1.R",0,29.74
"R/glmDS2.R",0,29.74
"R/glmerSLMADS.assign.R",0,29.74
"R/glmerSLMADS2.R",0,29.74
"R/glmPredictDS.ag.R",0,29.74
"R/glmPredictDS.as.R",0,29.74
"R/glmSLMADS.assign.R",0,29.74
"R/glmSLMADS1.R",0,29.74
"R/glmSLMADS2.R",0,29.74
"R/glmSummaryDS.ag.R",0,29.74
"R/glmSummaryDS.as.R",0,29.74
"R/heatmapPlotDS.R",0,29.74
"R/hetcorDS.R",100,29.74
"R/histogramDS1.R",0,29.74
"R/histogramDS2.R",0,29.74
"R/igb_standardsDS.R",58.12,29.74
"R/isNaDS.R",100,29.74
"R/isValidDS.R",94.12,29.74
"R/kurtosisDS1.R",85,29.74
"R/kurtosisDS2.R",76.92,29.74
"R/lengthDS.R",100,29.74
"R/levelsDS.R",91.67,29.74
"R/lexisDS1.R",0,29.74
"R/lexisDS2.R",0,29.74
"R/lexisDS3.R",0,29.74
"R/listDisclosureSettingsDS.R",100,29.74
"R/listDS.R",100,29.74
"R/lmerSLMADS.assign.R",0,29.74
"R/lmerSLMADS2.R",0,29.74
"R/logDS.R",100,29.74
"R/lsDS.R",84.62,29.74
"R/lsplineDS.R",0,29.74
"R/matrixDetDS1.R",0,29.74
"R/matrixDetDS2.R",0,29.74
"R/matrixDiagDS.R",0,29.74
"R/matrixDimnamesDS.R",0,29.74
"R/matrixDS.R",0,29.74
"R/matrixInvertDS.R",0,29.74
"R/matrixMultDS.R",0,29.74
"R/matrixTransposeDS.R",0,29.74
"R/meanDS.R",100,29.74
"R/meanSdGpDS.R",0,29.74
"R/mergeDS.R",0,29.74
"R/messageDS.R",100,29.74
"R/metadataDS.R",80,29.74
"R/miceDS.R",54.84,29.74
"R/minMaxRandDS.R",85.71,29.74
"R/namesDS.R",84.21,29.74
"R/nsDS.R",0,29.74
"R/numNaDS.R",100,29.74
"R/qlsplineDS.R",0,29.74
"R/quantileMeanDS.R",87.5,29.74
"R/rangeDS.R",80,29.74
"R/ranksSecureDS1.R",0,29.74
"R/ranksSecureDS2.R",0,29.74
"R/ranksSecureDS3.R",0,29.74
"R/ranksSecureDS4.R",0,29.74
"R/ranksSecureDS5.R",0,29.74
"R/rbindDS.R",100,29.74
"R/rBinomDS.R",100,29.74
"R/recodeLevelsDS.R",83.33,29.74
"R/recodeValuesDS.R",78.08,29.74
"R/repDS.R",0,29.74
"R/replaceNaDS.R",69.23,29.74
"R/reShapeDS.R",0,29.74
"R/rmDS.R",89.47,29.74
"R/rNormDS.R",100,29.74
"R/rowColCalcDS.R",78.57,29.74
"R/rPoisDS.R",100,29.74
"R/rUnifDS.R",100,29.74
"R/sampleDS.R",65.83,29.74
"R/scatterPlotDS.R",0,29.74
"R/seqDS.R",58.82,29.74
"R/setFilterDS.R",100,29.74
"R/setSeedDS.R",100,29.74
"R/skewnessDS1.R",85,29.74
"R/skewnessDS2.R",71.43,29.74
"R/sqrtDS.R",100,29.74
"R/subsetByClassDS.R",95.65,29.74
"R/subsetByClassHelper1.R",61.9,29.74
"R/subsetByClassHelper2.R",67.74,29.74
"R/subsetByClassHelper3.R",63.33,29.74
"R/subsetDS.R",39.62,29.74
"R/table1DDS.R",0,29.74
"R/table2DDS.R",0,29.74
"R/tableDS.assign.R",0,29.74
"R/tableDS.R",0,29.74
"R/tableDS2.R",0,29.74
"R/tapplyDS.assign.R",28.37,29.74
"R/tapplyDS.R",52.08,29.74
"R/testObjExistsDS.R",100,29.74
"R/uniqueDS.R",100,29.74
"R/unListDS.R",66.67,29.74
"R/utils.R",100,29.74
"R/varDS.R",100,29.74
"R/vectorDS.R",100,29.74
