"","filecoverage","totalcoverage"
"R/absDS.R",100,32.39
"R/asCharacterDS.R",100,32.39
"R/asDataMatrixDS.R",100,32.39
"R/asFactorDS1.R",62.5,32.39
"R/asFactorDS2.R",100,32.39
"R/asFactorSimpleDS.R",100,32.39
"R/asIntegerDS.R",100,32.39
"R/asListDS.R",100,32.39
"R/asLogicalDS.R",100,32.39
"R/asMatrixDS.R",100,32.39
"R/asNumericDS.R",100,32.39
"R/aucDS.R",86.67,32.39
"R/blackBoxDS.R",0,32.39
"R/blackBoxRanksDS.R",0,32.39
"R/BooleDS.R",75,32.39
"R/boxPlotGG_data_Treatment_numericDS.R",0,32.39
"R/boxPlotGG_data_TreatmentDS.R",0,32.39
"R/boxPlotGGDS.R",0,32.39
"R/bp_standardsDS.R",88.89,32.39
"R/cbindDS.R",77.78,32.39
"R/cDS.R",100,32.39
"R/changeRefGroupDS.R",100,32.39
"R/checkNegValueDS.R",100,32.39
"R/checkPermissivePrivacyControlLevel.R",80,32.39
"R/classDS.R",100,32.39
"R/colnamesDS.R",100,32.39
"R/completeCasesDS.R",72.73,32.39
"R/corDS.R",81.82,32.39
"R/corTestDS.R",100,32.39
"R/covDS.R",59.57,32.39
"R/dataFrameDS.R",65.38,32.39
"R/dataFrameFillDS.R",93.33,32.39
"R/dataFrameSortDS.R",77.78,32.39
"R/dataFrameSubsetDS1.R",52.54,32.39
"R/dataFrameSubsetDS2.R",41.23,32.39
"R/densityGridDS.R",86.36,32.39
"R/dimDS.R",100,32.39
"R/dmtC2SDS.R",0,32.39
"R/elsplineDS.R",0,32.39
"R/expDS.R",100,32.39
"R/extract.R",100,32.39
"R/extractQuantilesDS1.R",0,32.39
"R/extractQuantilesDS2.R",0,32.39
"R/gamlssDS.R",74.76,32.39
"R/getWGSRDS.R",79.75,32.39
"R/glmDS1.R",0,32.39
"R/glmDS2.R",0,32.39
"R/glmerSLMADS.assign.R",0,32.39
"R/glmerSLMADS2.R",0,32.39
"R/glmPredictDS.ag.R",0,32.39
"R/glmPredictDS.as.R",0,32.39
"R/glmSLMADS.assign.R",0,32.39
"R/glmSLMADS1.R",0,32.39
"R/glmSLMADS2.R",0,32.39
"R/glmSummaryDS.ag.R",0,32.39
"R/glmSummaryDS.as.R",0,32.39
"R/heatmapPlotDS.R",0,32.39
"R/hetcorDS.R",100,32.39
"R/histogramDS1.R",0,32.39
"R/histogramDS2.R",0,32.39
"R/igb_standardsDS.R",58.12,32.39
"R/isNaDS.R",100,32.39
"R/isValidDS.R",94.12,32.39
"R/kurtosisDS1.R",85,32.39
"R/kurtosisDS2.R",76.92,32.39
"R/lengthDS.R",100,32.39
"R/levelsDS.R",91.67,32.39
"R/lexisDS1.R",0,32.39
"R/lexisDS2.R",0,32.39
"R/lexisDS3.R",0,32.39
"R/listDisclosureSettingsDS.R",100,32.39
"R/listDS.R",100,32.39
"R/lmerSLMADS.assign.R",0,32.39
"R/lmerSLMADS2.R",0,32.39
"R/logDS.R",100,32.39
"R/lsDS.R",84.62,32.39
"R/lsplineDS.R",0,32.39
"R/matrixDetDS1.R",0,32.39
"R/matrixDetDS2.R",0,32.39
"R/matrixDiagDS.R",57.89,32.39
"R/matrixDimnamesDS.R",77.27,32.39
"R/matrixDS.R",60.27,32.39
"R/matrixInvertDS.R",72.22,32.39
"R/matrixMultDS.R",78.95,32.39
"R/matrixTransposeDS.R",87.5,32.39
"R/meanDS.R",100,32.39
"R/meanSdGpDS.R",0,32.39
"R/mergeDS.R",0,32.39
"R/messageDS.R",100,32.39
"R/metadataDS.R",80,32.39
"R/miceDS.R",53.33,32.39
"R/minMaxRandDS.R",85.71,32.39
"R/namesDS.R",84.21,32.39
"R/nsDS.R",0,32.39
"R/numNaDS.R",100,32.39
"R/qlsplineDS.R",0,32.39
"R/quantileMeanDS.R",87.5,32.39
"R/rangeDS.R",80,32.39
"R/ranksSecureDS1.R",0,32.39
"R/ranksSecureDS2.R",0,32.39
"R/ranksSecureDS3.R",0,32.39
"R/ranksSecureDS4.R",0,32.39
"R/ranksSecureDS5.R",0,32.39
"R/rbindDS.R",100,32.39
"R/rBinomDS.R",100,32.39
"R/recodeLevelsDS.R",83.33,32.39
"R/recodeValuesDS.R",78.08,32.39
"R/repDS.R",0,32.39
"R/replaceNaDS.R",69.23,32.39
"R/reShapeDS.R",0,32.39
"R/rmDS.R",89.47,32.39
"R/rNormDS.R",100,32.39
"R/rowColCalcDS.R",78.57,32.39
"R/rPoisDS.R",100,32.39
"R/rUnifDS.R",100,32.39
"R/sampleDS.R",65.83,32.39
"R/scatterPlotDS.R",0,32.39
"R/seqDS.R",58.82,32.39
"R/setFilterDS.R",100,32.39
"R/setSeedDS.R",100,32.39
"R/skewnessDS1.R",85,32.39
"R/skewnessDS2.R",71.43,32.39
"R/sqrtDS.R",100,32.39
"R/subsetByClassDS.R",95.65,32.39
"R/subsetByClassHelper1.R",61.9,32.39
"R/subsetByClassHelper2.R",67.74,32.39
"R/subsetByClassHelper3.R",63.33,32.39
"R/subsetDS.R",39.62,32.39
"R/table1DDS.R",0,32.39
"R/table2DDS.R",0,32.39
"R/tableDS.assign.R",0,32.39
"R/tableDS.R",0,32.39
"R/tableDS2.R",0,32.39
"R/tapplyDS.assign.R",28.37,32.39
"R/tapplyDS.R",52.08,32.39
"R/testObjExistsDS.R",100,32.39
"R/uniqueDS.R",100,32.39
"R/unListDS.R",66.67,32.39
"R/utils.R",100,32.39
"R/varDS.R",100,32.39
"R/vectorDS.R",100,32.39
