"","filecoverage","totalcoverage"
"R/absDS.R",100,29.75
"R/asCharacterDS.R",100,29.75
"R/asDataMatrixDS.R",100,29.75
"R/asFactorDS1.R",62.5,29.75
"R/asFactorDS2.R",100,29.75
"R/asFactorSimpleDS.R",100,29.75
"R/asIntegerDS.R",100,29.75
"R/asListDS.R",100,29.75
"R/asLogicalDS.R",100,29.75
"R/asMatrixDS.R",100,29.75
"R/asNumericDS.R",100,29.75
"R/aucDS.R",86.67,29.75
"R/blackBoxDS.R",0,29.75
"R/blackBoxRanksDS.R",0,29.75
"R/BooleDS.R",75,29.75
"R/boxPlotGG_data_Treatment_numericDS.R",0,29.75
"R/boxPlotGG_data_TreatmentDS.R",0,29.75
"R/boxPlotGGDS.R",0,29.75
"R/bp_standardsDS.R",88.89,29.75
"R/cbindDS.R",77.78,29.75
"R/cDS.R",100,29.75
"R/changeRefGroupDS.R",100,29.75
"R/checkNegValueDS.R",100,29.75
"R/checkPermissivePrivacyControlLevel.R",80,29.75
"R/classDS.R",100,29.75
"R/colnamesDS.R",100,29.75
"R/completeCasesDS.R",72.73,29.75
"R/corDS.R",81.82,29.75
"R/corTestDS.R",100,29.75
"R/covDS.R",59.57,29.75
"R/dataFrameDS.R",65.38,29.75
"R/dataFrameFillDS.R",93.33,29.75
"R/dataFrameSortDS.R",77.78,29.75
"R/dataFrameSubsetDS1.R",52.54,29.75
"R/dataFrameSubsetDS2.R",41.23,29.75
"R/densityGridDS.R",86.36,29.75
"R/dimDS.R",100,29.75
"R/dmtC2SDS.R",0,29.75
"R/elsplineDS.R",0,29.75
"R/expDS.R",100,29.75
"R/extract.R",100,29.75
"R/extractQuantilesDS1.R",0,29.75
"R/extractQuantilesDS2.R",0,29.75
"R/gamlssDS.R",74.76,29.75
"R/getWGSRDS.R",79.75,29.75
"R/glmDS1.R",0,29.75
"R/glmDS2.R",0,29.75
"R/glmerSLMADS.assign.R",0,29.75
"R/glmerSLMADS2.R",0,29.75
"R/glmPredictDS.ag.R",0,29.75
"R/glmPredictDS.as.R",0,29.75
"R/glmSLMADS.assign.R",0,29.75
"R/glmSLMADS1.R",0,29.75
"R/glmSLMADS2.R",0,29.75
"R/glmSummaryDS.ag.R",0,29.75
"R/glmSummaryDS.as.R",0,29.75
"R/heatmapPlotDS.R",0,29.75
"R/hetcorDS.R",100,29.75
"R/histogramDS1.R",0,29.75
"R/histogramDS2.R",0,29.75
"R/igb_standardsDS.R",58.12,29.75
"R/isNaDS.R",100,29.75
"R/isValidDS.R",94.12,29.75
"R/kurtosisDS1.R",85,29.75
"R/kurtosisDS2.R",76.92,29.75
"R/lengthDS.R",100,29.75
"R/levelsDS.R",91.67,29.75
"R/lexisDS1.R",0,29.75
"R/lexisDS2.R",0,29.75
"R/lexisDS3.R",0,29.75
"R/listDisclosureSettingsDS.R",100,29.75
"R/listDS.R",100,29.75
"R/lmerSLMADS.assign.R",0,29.75
"R/lmerSLMADS2.R",0,29.75
"R/logDS.R",100,29.75
"R/lsDS.R",84.62,29.75
"R/lsplineDS.R",0,29.75
"R/matrixDetDS1.R",0,29.75
"R/matrixDetDS2.R",0,29.75
"R/matrixDiagDS.R",0,29.75
"R/matrixDimnamesDS.R",0,29.75
"R/matrixDS.R",0,29.75
"R/matrixInvertDS.R",0,29.75
"R/matrixMultDS.R",0,29.75
"R/matrixTransposeDS.R",0,29.75
"R/meanDS.R",100,29.75
"R/meanSdGpDS.R",0,29.75
"R/mergeDS.R",0,29.75
"R/messageDS.R",100,29.75
"R/metadataDS.R",80,29.75
"R/miceDS.R",53.33,29.75
"R/minMaxRandDS.R",85.71,29.75
"R/namesDS.R",84.21,29.75
"R/nsDS.R",0,29.75
"R/numNaDS.R",100,29.75
"R/qlsplineDS.R",0,29.75
"R/quantileMeanDS.R",87.5,29.75
"R/rangeDS.R",80,29.75
"R/ranksSecureDS1.R",0,29.75
"R/ranksSecureDS2.R",0,29.75
"R/ranksSecureDS3.R",0,29.75
"R/ranksSecureDS4.R",0,29.75
"R/ranksSecureDS5.R",0,29.75
"R/rbindDS.R",100,29.75
"R/rBinomDS.R",100,29.75
"R/recodeLevelsDS.R",83.33,29.75
"R/recodeValuesDS.R",78.08,29.75
"R/repDS.R",0,29.75
"R/replaceNaDS.R",69.23,29.75
"R/reShapeDS.R",0,29.75
"R/rmDS.R",89.47,29.75
"R/rNormDS.R",100,29.75
"R/rowColCalcDS.R",78.57,29.75
"R/rPoisDS.R",100,29.75
"R/rUnifDS.R",100,29.75
"R/sampleDS.R",69.17,29.75
"R/scatterPlotDS.R",0,29.75
"R/seqDS.R",58.82,29.75
"R/setFilterDS.R",100,29.75
"R/setSeedDS.R",83.33,29.75
"R/skewnessDS1.R",85,29.75
"R/skewnessDS2.R",71.43,29.75
"R/sqrtDS.R",100,29.75
"R/subsetByClassDS.R",95.65,29.75
"R/subsetByClassHelper1.R",61.9,29.75
"R/subsetByClassHelper2.R",67.74,29.75
"R/subsetByClassHelper3.R",63.33,29.75
"R/subsetDS.R",39.62,29.75
"R/table1DDS.R",0,29.75
"R/table2DDS.R",0,29.75
"R/tableDS.assign.R",0,29.75
"R/tableDS.R",0,29.75
"R/tableDS2.R",0,29.75
"R/tapplyDS.assign.R",28.37,29.75
"R/tapplyDS.R",52.08,29.75
"R/testObjExistsDS.R",100,29.75
"R/uniqueDS.R",100,29.75
"R/unListDS.R",66.67,29.75
"R/utils.R",100,29.75
"R/varDS.R",100,29.75
"R/vectorDS.R",100,29.75
