"","filecoverage","totalcoverage"
"R/absDS.R",100,29.77
"R/asCharacterDS.R",100,29.77
"R/asDataMatrixDS.R",100,29.77
"R/asFactorDS1.R",62.5,29.77
"R/asFactorDS2.R",100,29.77
"R/asFactorSimpleDS.R",100,29.77
"R/asIntegerDS.R",100,29.77
"R/asListDS.R",100,29.77
"R/asLogicalDS.R",100,29.77
"R/asMatrixDS.R",100,29.77
"R/asNumericDS.R",100,29.77
"R/aucDS.R",86.67,29.77
"R/blackBoxDS.R",0,29.77
"R/blackBoxRanksDS.R",0,29.77
"R/BooleDS.R",75,29.77
"R/boxPlotGG_data_Treatment_numericDS.R",0,29.77
"R/boxPlotGG_data_TreatmentDS.R",0,29.77
"R/boxPlotGGDS.R",0,29.77
"R/bp_standardsDS.R",88.89,29.77
"R/cbindDS.R",77.78,29.77
"R/cDS.R",100,29.77
"R/changeRefGroupDS.R",100,29.77
"R/checkNegValueDS.R",100,29.77
"R/checkPermissivePrivacyControlLevel.R",80,29.77
"R/classDS.R",100,29.77
"R/colnamesDS.R",100,29.77
"R/completeCasesDS.R",72.73,29.77
"R/corDS.R",81.82,29.77
"R/corTestDS.R",100,29.77
"R/covDS.R",59.57,29.77
"R/dataFrameDS.R",65.38,29.77
"R/dataFrameFillDS.R",93.33,29.77
"R/dataFrameSortDS.R",77.78,29.77
"R/dataFrameSubsetDS1.R",52.54,29.77
"R/dataFrameSubsetDS2.R",41.23,29.77
"R/densityGridDS.R",86.36,29.77
"R/dimDS.R",100,29.77
"R/dmtC2SDS.R",0,29.77
"R/elsplineDS.R",0,29.77
"R/expDS.R",100,29.77
"R/extract.R",100,29.77
"R/extractQuantilesDS1.R",0,29.77
"R/extractQuantilesDS2.R",0,29.77
"R/gamlssDS.R",74.76,29.77
"R/getWGSRDS.R",79.75,29.77
"R/glmDS1.R",0,29.77
"R/glmDS2.R",0,29.77
"R/glmerSLMADS.assign.R",0,29.77
"R/glmerSLMADS2.R",0,29.77
"R/glmPredictDS.ag.R",0,29.77
"R/glmPredictDS.as.R",0,29.77
"R/glmSLMADS.assign.R",0,29.77
"R/glmSLMADS1.R",0,29.77
"R/glmSLMADS2.R",0,29.77
"R/glmSummaryDS.ag.R",0,29.77
"R/glmSummaryDS.as.R",0,29.77
"R/heatmapPlotDS.R",0,29.77
"R/hetcorDS.R",100,29.77
"R/histogramDS1.R",0,29.77
"R/histogramDS2.R",0,29.77
"R/igb_standardsDS.R",58.12,29.77
"R/isNaDS.R",100,29.77
"R/isValidDS.R",94.12,29.77
"R/kurtosisDS1.R",85,29.77
"R/kurtosisDS2.R",76.92,29.77
"R/lengthDS.R",100,29.77
"R/levelsDS.R",80,29.77
"R/lexisDS1.R",0,29.77
"R/lexisDS2.R",0,29.77
"R/lexisDS3.R",0,29.77
"R/listDisclosureSettingsDS.R",100,29.77
"R/listDS.R",100,29.77
"R/lmerSLMADS.assign.R",0,29.77
"R/lmerSLMADS2.R",0,29.77
"R/logDS.R",100,29.77
"R/lsDS.R",84.62,29.77
"R/lsplineDS.R",0,29.77
"R/matrixDetDS1.R",0,29.77
"R/matrixDetDS2.R",0,29.77
"R/matrixDiagDS.R",0,29.77
"R/matrixDimnamesDS.R",0,29.77
"R/matrixDS.R",0,29.77
"R/matrixInvertDS.R",0,29.77
"R/matrixMultDS.R",0,29.77
"R/matrixTransposeDS.R",0,29.77
"R/meanDS.R",100,29.77
"R/meanSdGpDS.R",0,29.77
"R/mergeDS.R",0,29.77
"R/messageDS.R",100,29.77
"R/metadataDS.R",80,29.77
"R/miceDS.R",53.33,29.77
"R/minMaxRandDS.R",85.71,29.77
"R/namesDS.R",84.21,29.77
"R/nsDS.R",0,29.77
"R/numNaDS.R",100,29.77
"R/qlsplineDS.R",0,29.77
"R/quantileMeanDS.R",87.5,29.77
"R/rangeDS.R",80,29.77
"R/ranksSecureDS1.R",0,29.77
"R/ranksSecureDS2.R",0,29.77
"R/ranksSecureDS3.R",0,29.77
"R/ranksSecureDS4.R",0,29.77
"R/ranksSecureDS5.R",0,29.77
"R/rbindDS.R",100,29.77
"R/rBinomDS.R",100,29.77
"R/recodeLevelsDS.R",83.33,29.77
"R/recodeValuesDS.R",78.08,29.77
"R/repDS.R",0,29.77
"R/replaceNaDS.R",69.23,29.77
"R/reShapeDS.R",0,29.77
"R/rmDS.R",89.47,29.77
"R/rNormDS.R",100,29.77
"R/rowColCalcDS.R",78.57,29.77
"R/rPoisDS.R",100,29.77
"R/rUnifDS.R",100,29.77
"R/sampleDS.R",65.83,29.77
"R/scatterPlotDS.R",0,29.77
"R/seqDS.R",58.82,29.77
"R/setFilterDS.R",100,29.77
"R/setSeedDS.R",100,29.77
"R/skewnessDS1.R",85,29.77
"R/skewnessDS2.R",71.43,29.77
"R/sqrtDS.R",100,29.77
"R/subsetByClassDS.R",95.65,29.77
"R/subsetByClassHelper1.R",61.9,29.77
"R/subsetByClassHelper2.R",67.74,29.77
"R/subsetByClassHelper3.R",63.33,29.77
"R/subsetDS.R",39.62,29.77
"R/table1DDS.R",0,29.77
"R/table2DDS.R",0,29.77
"R/tableDS.assign.R",0,29.77
"R/tableDS.R",0,29.77
"R/tableDS2.R",0,29.77
"R/tapplyDS.assign.R",28.37,29.77
"R/tapplyDS.R",52.08,29.77
"R/testObjExistsDS.R",100,29.77
"R/uniqueDS.R",100,29.77
"R/unListDS.R",66.67,29.77
"R/utils.R",100,29.77
"R/varDS.R",100,29.77
"R/vectorDS.R",100,29.77
