"","filecoverage","totalcoverage"
"R/absDS.R",100,32.32
"R/asCharacterDS.R",100,32.32
"R/asDataMatrixDS.R",100,32.32
"R/asFactorDS1.R",62.5,32.32
"R/asFactorDS2.R",100,32.32
"R/asFactorSimpleDS.R",100,32.32
"R/asIntegerDS.R",100,32.32
"R/asListDS.R",100,32.32
"R/asLogicalDS.R",100,32.32
"R/asMatrixDS.R",100,32.32
"R/asNumericDS.R",100,32.32
"R/aucDS.R",86.67,32.32
"R/blackBoxDS.R",0,32.32
"R/blackBoxRanksDS.R",0,32.32
"R/BooleDS.R",75,32.32
"R/boxPlotGG_data_Treatment_numericDS.R",0,32.32
"R/boxPlotGG_data_TreatmentDS.R",0,32.32
"R/boxPlotGGDS.R",0,32.32
"R/bp_standardsDS.R",88.89,32.32
"R/cbindDS.R",100,32.32
"R/cDS.R",100,32.32
"R/changeRefGroupDS.R",100,32.32
"R/checkNegValueDS.R",100,32.32
"R/checkPermissivePrivacyControlLevel.R",80,32.32
"R/classDS.R",100,32.32
"R/colnamesDS.R",100,32.32
"R/completeCasesDS.R",72.73,32.32
"R/corDS.R",81.82,32.32
"R/corTestDS.R",100,32.32
"R/covDS.R",59.57,32.32
"R/dataFrameDS.R",86.21,32.32
"R/dataFrameFillDS.R",93.33,32.32
"R/dataFrameSortDS.R",77.14,32.32
"R/dataFrameSubsetDS1.R",53.6,32.32
"R/dataFrameSubsetDS2.R",42.98,32.32
"R/densityGridDS.R",86.36,32.32
"R/dimDS.R",100,32.32
"R/dmtC2SDS.R",0,32.32
"R/elsplineDS.R",0,32.32
"R/expDS.R",100,32.32
"R/extract.R",100,32.32
"R/extractQuantilesDS1.R",0,32.32
"R/extractQuantilesDS2.R",0,32.32
"R/gamlssDS.R",74.76,32.32
"R/getWGSRDS.R",79.75,32.32
"R/glmDS1.R",0,32.32
"R/glmDS2.R",0,32.32
"R/glmerSLMADS.assign.R",0,32.32
"R/glmerSLMADS2.R",0,32.32
"R/glmPredictDS.ag.R",0,32.32
"R/glmPredictDS.as.R",0,32.32
"R/glmSLMADS.assign.R",0,32.32
"R/glmSLMADS1.R",0,32.32
"R/glmSLMADS2.R",0,32.32
"R/glmSummaryDS.ag.R",0,32.32
"R/glmSummaryDS.as.R",0,32.32
"R/heatmapPlotDS.R",0,32.32
"R/hetcorDS.R",100,32.32
"R/histogramDS1.R",0,32.32
"R/histogramDS2.R",0,32.32
"R/igb_standardsDS.R",58.12,32.32
"R/isNaDS.R",100,32.32
"R/isValidDS.R",94.12,32.32
"R/kurtosisDS1.R",85,32.32
"R/kurtosisDS2.R",76.92,32.32
"R/lengthDS.R",100,32.32
"R/levelsDS.R",76.92,32.32
"R/lexisDS1.R",0,32.32
"R/lexisDS2.R",0,32.32
"R/lexisDS3.R",0,32.32
"R/listDisclosureSettingsDS.R",100,32.32
"R/listDS.R",100,32.32
"R/lmerSLMADS.assign.R",0,32.32
"R/lmerSLMADS2.R",0,32.32
"R/logDS.R",100,32.32
"R/lsDS.R",84.62,32.32
"R/lsplineDS.R",0,32.32
"R/matrixDetDS1.R",0,32.32
"R/matrixDetDS2.R",0,32.32
"R/matrixDiagDS.R",0,32.32
"R/matrixDimnamesDS.R",0,32.32
"R/matrixDS.R",0,32.32
"R/matrixInvertDS.R",0,32.32
"R/matrixMultDS.R",0,32.32
"R/matrixTransposeDS.R",0,32.32
"R/meanDS.R",100,32.32
"R/meanSdGpDS.R",0,32.32
"R/mergeDS.R",72.73,32.32
"R/messageDS.R",100,32.32
"R/metadataDS.R",80,32.32
"R/miceDS.R",53.33,32.32
"R/minMaxRandDS.R",85.71,32.32
"R/namesDS.R",70.59,32.32
"R/nsDS.R",0,32.32
"R/numNaDS.R",100,32.32
"R/qlsplineDS.R",0,32.32
"R/quantileMeanDS.R",87.5,32.32
"R/rangeDS.R",80,32.32
"R/ranksSecureDS1.R",0,32.32
"R/ranksSecureDS2.R",0,32.32
"R/ranksSecureDS3.R",0,32.32
"R/ranksSecureDS4.R",0,32.32
"R/ranksSecureDS5.R",0,32.32
"R/rbindDS.R",100,32.32
"R/rBinomDS.R",100,32.32
"R/recodeLevelsDS.R",83.33,32.32
"R/recodeValuesDS.R",80.28,32.32
"R/repDS.R",45.68,32.32
"R/replaceNaDS.R",71.43,32.32
"R/reShapeDS.R",0,32.32
"R/rmDS.R",89.47,32.32
"R/rNormDS.R",100,32.32
"R/rowColCalcDS.R",78.57,32.32
"R/rPoisDS.R",100,32.32
"R/rUnifDS.R",100,32.32
"R/sampleDS.R",65.83,32.32
"R/scatterPlotDS.R",0,32.32
"R/seqDS.R",70.91,32.32
"R/setFilterDS.R",100,32.32
"R/setSeedDS.R",100,32.32
"R/skewnessDS1.R",85,32.32
"R/skewnessDS2.R",71.43,32.32
"R/sqrtDS.R",100,32.32
"R/subsetByClassDS.R",95.65,32.32
"R/subsetByClassHelper1.R",61.9,32.32
"R/subsetByClassHelper2.R",67.74,32.32
"R/subsetByClassHelper3.R",63.33,32.32
"R/subsetDS.R",39.62,32.32
"R/table1DDS.R",0,32.32
"R/table2DDS.R",0,32.32
"R/tableDS.assign.R",0,32.32
"R/tableDS.R",0,32.32
"R/tableDS2.R",0,32.32
"R/tapplyDS.assign.R",28.37,32.32
"R/tapplyDS.R",52.08,32.32
"R/testObjExistsDS.R",100,32.32
"R/uniqueDS.R",100,32.32
"R/unListDS.R",100,32.32
"R/utils.R",100,32.32
"R/varDS.R",100,32.32
"R/vectorDS.R",100,32.32
