"","filecoverage","totalcoverage"
"R/absDS.R",100,29.78
"R/asCharacterDS.R",100,29.78
"R/asDataMatrixDS.R",100,29.78
"R/asFactorDS1.R",62.5,29.78
"R/asFactorDS2.R",100,29.78
"R/asFactorSimpleDS.R",100,29.78
"R/asIntegerDS.R",100,29.78
"R/asListDS.R",100,29.78
"R/asLogicalDS.R",100,29.78
"R/asMatrixDS.R",100,29.78
"R/asNumericDS.R",100,29.78
"R/aucDS.R",86.67,29.78
"R/blackBoxDS.R",0,29.78
"R/blackBoxRanksDS.R",0,29.78
"R/BooleDS.R",75,29.78
"R/boxPlotGG_data_Treatment_numericDS.R",0,29.78
"R/boxPlotGG_data_TreatmentDS.R",0,29.78
"R/boxPlotGGDS.R",0,29.78
"R/bp_standardsDS.R",88.89,29.78
"R/cbindDS.R",77.78,29.78
"R/cDS.R",100,29.78
"R/changeRefGroupDS.R",100,29.78
"R/checkNegValueDS.R",100,29.78
"R/checkPermissivePrivacyControlLevel.R",80,29.78
"R/classDS.R",100,29.78
"R/colnamesDS.R",100,29.78
"R/completeCasesDS.R",72.73,29.78
"R/corDS.R",81.82,29.78
"R/corTestDS.R",100,29.78
"R/covDS.R",59.57,29.78
"R/dataFrameDS.R",65.38,29.78
"R/dataFrameFillDS.R",93.33,29.78
"R/dataFrameSortDS.R",77.78,29.78
"R/dataFrameSubsetDS1.R",52.54,29.78
"R/dataFrameSubsetDS2.R",41.23,29.78
"R/densityGridDS.R",86.36,29.78
"R/dimDS.R",100,29.78
"R/dmtC2SDS.R",0,29.78
"R/elsplineDS.R",0,29.78
"R/expDS.R",100,29.78
"R/extract.R",100,29.78
"R/extractQuantilesDS1.R",0,29.78
"R/extractQuantilesDS2.R",0,29.78
"R/gamlssDS.R",74.76,29.78
"R/getWGSRDS.R",80,29.78
"R/glmDS1.R",0,29.78
"R/glmDS2.R",0,29.78
"R/glmerSLMADS.assign.R",0,29.78
"R/glmerSLMADS2.R",0,29.78
"R/glmPredictDS.ag.R",0,29.78
"R/glmPredictDS.as.R",0,29.78
"R/glmSLMADS.assign.R",0,29.78
"R/glmSLMADS1.R",0,29.78
"R/glmSLMADS2.R",0,29.78
"R/glmSummaryDS.ag.R",0,29.78
"R/glmSummaryDS.as.R",0,29.78
"R/heatmapPlotDS.R",0,29.78
"R/hetcorDS.R",100,29.78
"R/histogramDS1.R",0,29.78
"R/histogramDS2.R",0,29.78
"R/igb_standardsDS.R",58.12,29.78
"R/isNaDS.R",100,29.78
"R/isValidDS.R",94.12,29.78
"R/kurtosisDS1.R",85,29.78
"R/kurtosisDS2.R",76.92,29.78
"R/lengthDS.R",100,29.78
"R/levelsDS.R",91.67,29.78
"R/lexisDS1.R",0,29.78
"R/lexisDS2.R",0,29.78
"R/lexisDS3.R",0,29.78
"R/listDisclosureSettingsDS.R",100,29.78
"R/listDS.R",100,29.78
"R/lmerSLMADS.assign.R",0,29.78
"R/lmerSLMADS2.R",0,29.78
"R/logDS.R",100,29.78
"R/lsDS.R",84.62,29.78
"R/lsplineDS.R",0,29.78
"R/matrixDetDS1.R",0,29.78
"R/matrixDetDS2.R",0,29.78
"R/matrixDiagDS.R",0,29.78
"R/matrixDimnamesDS.R",0,29.78
"R/matrixDS.R",0,29.78
"R/matrixInvertDS.R",0,29.78
"R/matrixMultDS.R",0,29.78
"R/matrixTransposeDS.R",0,29.78
"R/meanDS.R",100,29.78
"R/meanSdGpDS.R",0,29.78
"R/mergeDS.R",0,29.78
"R/messageDS.R",100,29.78
"R/metadataDS.R",80,29.78
"R/miceDS.R",53.33,29.78
"R/minMaxRandDS.R",85.71,29.78
"R/namesDS.R",84.21,29.78
"R/nsDS.R",0,29.78
"R/numNaDS.R",100,29.78
"R/qlsplineDS.R",0,29.78
"R/quantileMeanDS.R",87.5,29.78
"R/rangeDS.R",80,29.78
"R/ranksSecureDS1.R",0,29.78
"R/ranksSecureDS2.R",0,29.78
"R/ranksSecureDS3.R",0,29.78
"R/ranksSecureDS4.R",0,29.78
"R/ranksSecureDS5.R",0,29.78
"R/rbindDS.R",100,29.78
"R/rBinomDS.R",100,29.78
"R/recodeLevelsDS.R",83.33,29.78
"R/recodeValuesDS.R",78.08,29.78
"R/repDS.R",0,29.78
"R/replaceNaDS.R",69.23,29.78
"R/reShapeDS.R",0,29.78
"R/rmDS.R",89.47,29.78
"R/rNormDS.R",100,29.78
"R/rowColCalcDS.R",80,29.78
"R/rPoisDS.R",100,29.78
"R/rUnifDS.R",100,29.78
"R/sampleDS.R",65.83,29.78
"R/scatterPlotDS.R",0,29.78
"R/seqDS.R",58.82,29.78
"R/setFilterDS.R",100,29.78
"R/setSeedDS.R",100,29.78
"R/skewnessDS1.R",85,29.78
"R/skewnessDS2.R",71.43,29.78
"R/sqrtDS.R",100,29.78
"R/subsetByClassDS.R",95.65,29.78
"R/subsetByClassHelper1.R",61.9,29.78
"R/subsetByClassHelper2.R",67.74,29.78
"R/subsetByClassHelper3.R",63.33,29.78
"R/subsetDS.R",39.62,29.78
"R/table1DDS.R",0,29.78
"R/table2DDS.R",0,29.78
"R/tableDS.assign.R",0,29.78
"R/tableDS.R",0,29.78
"R/tableDS2.R",0,29.78
"R/tapplyDS.assign.R",28.37,29.78
"R/tapplyDS.R",52.41,29.78
"R/testObjExistsDS.R",100,29.78
"R/uniqueDS.R",100,29.78
"R/unListDS.R",66.67,29.78
"R/utils.R",100,29.78
"R/varDS.R",100,29.78
"R/vectorDS.R",100,29.78
