"","filecoverage","totalcoverage"
"R/absDS.R",100,30.93
"R/asCharacterDS.R",100,30.93
"R/asDataMatrixDS.R",100,30.93
"R/asFactorDS1.R",62.5,30.93
"R/asFactorDS2.R",100,30.93
"R/asFactorSimpleDS.R",100,30.93
"R/asIntegerDS.R",100,30.93
"R/asListDS.R",100,30.93
"R/asLogicalDS.R",100,30.93
"R/asMatrixDS.R",100,30.93
"R/asNumericDS.R",100,30.93
"R/aucDS.R",86.67,30.93
"R/blackBoxDS.R",0,30.93
"R/blackBoxRanksDS.R",0,30.93
"R/BooleDS.R",75,30.93
"R/boxPlotGG_data_Treatment_numericDS.R",0,30.93
"R/boxPlotGG_data_TreatmentDS.R",0,30.93
"R/boxPlotGGDS.R",0,30.93
"R/bp_standardsDS.R",88.89,30.93
"R/cbindDS.R",77.78,30.93
"R/cDS.R",100,30.93
"R/changeRefGroupDS.R",100,30.93
"R/checkNegValueDS.R",100,30.93
"R/checkPermissivePrivacyControlLevel.R",80,30.93
"R/classDS.R",100,30.93
"R/colnamesDS.R",100,30.93
"R/completeCasesDS.R",72.73,30.93
"R/corDS.R",82.35,30.93
"R/corTestDS.R",100,30.93
"R/covDS.R",60.14,30.93
"R/dataFrameDS.R",65.38,30.93
"R/dataFrameFillDS.R",93.33,30.93
"R/dataFrameSortDS.R",77.78,30.93
"R/dataFrameSubsetDS1.R",52.54,30.93
"R/dataFrameSubsetDS2.R",41.23,30.93
"R/densityGridDS.R",86.36,30.93
"R/dimDS.R",100,30.93
"R/dmtC2SDS.R",0,30.93
"R/elsplineDS.R",0,30.93
"R/expDS.R",100,30.93
"R/extract.R",100,30.93
"R/extractQuantilesDS1.R",0,30.93
"R/extractQuantilesDS2.R",0,30.93
"R/gamlssDS.R",74.76,30.93
"R/getWGSRDS.R",79.75,30.93
"R/glmDS1.R",0,30.93
"R/glmDS2.R",0,30.93
"R/glmerSLMADS.assign.R",0,30.93
"R/glmerSLMADS2.R",0,30.93
"R/glmPredictDS.ag.R",0,30.93
"R/glmPredictDS.as.R",0,30.93
"R/glmSLMADS.assign.R",0,30.93
"R/glmSLMADS1.R",0,30.93
"R/glmSLMADS2.R",0,30.93
"R/glmSummaryDS.ag.R",0,30.93
"R/glmSummaryDS.as.R",0,30.93
"R/heatmapPlotDS.R",0,30.93
"R/hetcorDS.R",100,30.93
"R/histogramDS1.R",0,30.93
"R/histogramDS2.R",0,30.93
"R/igb_standardsDS.R",58.12,30.93
"R/isNaDS.R",100,30.93
"R/isValidDS.R",94.12,30.93
"R/kurtosisDS1.R",83.33,30.93
"R/kurtosisDS2.R",90.91,30.93
"R/lengthDS.R",100,30.93
"R/levelsDS.R",76.92,30.93
"R/lexisDS1.R",0,30.93
"R/lexisDS2.R",0,30.93
"R/lexisDS3.R",0,30.93
"R/listDisclosureSettingsDS.R",100,30.93
"R/listDS.R",100,30.93
"R/lmerSLMADS.assign.R",0,30.93
"R/lmerSLMADS2.R",0,30.93
"R/logDS.R",100,30.93
"R/lsDS.R",84.62,30.93
"R/lsplineDS.R",0,30.93
"R/matrixDetDS1.R",0,30.93
"R/matrixDetDS2.R",0,30.93
"R/matrixDiagDS.R",0,30.93
"R/matrixDimnamesDS.R",0,30.93
"R/matrixDS.R",0,30.93
"R/matrixInvertDS.R",0,30.93
"R/matrixMultDS.R",0,30.93
"R/matrixTransposeDS.R",0,30.93
"R/meanDS.R",100,30.93
"R/meanSdGpDS.R",84.21,30.93
"R/mergeDS.R",0,30.93
"R/messageDS.R",100,30.93
"R/metadataDS.R",80,30.93
"R/miceDS.R",53.33,30.93
"R/minMaxRandDS.R",85.71,30.93
"R/namesDS.R",70.59,30.93
"R/nsDS.R",0,30.93
"R/numNaDS.R",100,30.93
"R/qlsplineDS.R",0,30.93
"R/quantileMeanDS.R",90,30.93
"R/rangeDS.R",80,30.93
"R/ranksSecureDS1.R",0,30.93
"R/ranksSecureDS2.R",0,30.93
"R/ranksSecureDS3.R",0,30.93
"R/ranksSecureDS4.R",0,30.93
"R/ranksSecureDS5.R",0,30.93
"R/rbindDS.R",100,30.93
"R/rBinomDS.R",100,30.93
"R/recodeLevelsDS.R",83.33,30.93
"R/recodeValuesDS.R",78.08,30.93
"R/repDS.R",0,30.93
"R/replaceNaDS.R",69.23,30.93
"R/reShapeDS.R",0,30.93
"R/rmDS.R",89.47,30.93
"R/rNormDS.R",100,30.93
"R/rowColCalcDS.R",78.57,30.93
"R/rPoisDS.R",100,30.93
"R/rUnifDS.R",100,30.93
"R/sampleDS.R",65.83,30.93
"R/scatterPlotDS.R",0,30.93
"R/seqDS.R",58.82,30.93
"R/setFilterDS.R",100,30.93
"R/setSeedDS.R",100,30.93
"R/skewnessDS1.R",83.33,30.93
"R/skewnessDS2.R",90.91,30.93
"R/sqrtDS.R",100,30.93
"R/subsetByClassDS.R",95.65,30.93
"R/subsetByClassHelper1.R",61.9,30.93
"R/subsetByClassHelper2.R",67.74,30.93
"R/subsetByClassHelper3.R",63.33,30.93
"R/subsetDS.R",39.62,30.93
"R/table1DDS.R",0,30.93
"R/table2DDS.R",0,30.93
"R/tableDS.assign.R",0,30.93
"R/tableDS.R",0,30.93
"R/tableDS2.R",0,30.93
"R/tapplyDS.assign.R",28.37,30.93
"R/tapplyDS.R",52.08,30.93
"R/testObjExistsDS.R",100,30.93
"R/uniqueDS.R",100,30.93
"R/unListDS.R",66.67,30.93
"R/utils.R",100,30.93
"R/varDS.R",100,30.93
"R/vectorDS.R",100,30.93
